category,image_path,non_empty_pixel_at_1,non_empty_pixel_at_2,non_empty_pixel_at_3,non_empty_pixel_at_4,non_empty_pixel_at_5,non_empty_pixel_at_6,non_empty_pixel_at_7,non_empty_pixel_at_8,non_empty_pixel_at_9
long sleeve,PE17/00001.png,0.23311500053688392,0.9214538816707828,0.164286481262751,0.8273381294964028,1.0,0.6601524750348975,0.6428111242349404,0.8706646623000107,0.6763663695908945
long sleeve,PE17/00002.png,0.5007513661202185,0.7716530054644809,0.5859972677595628,0.8780054644808744,1.0,0.9434426229508197,0.7004781420765027,0.9469945355191257,0.7058060109289618
culottes,PE17/00003.png,0.8431492842535787,0.9688139059304703,0.8882413087934561,0.9558282208588957,0.6204498977505113,0.9829243353783231,0.93640081799591,0.10797546012269939,0.9149284253578732
long sleeve,PE17/00004.png,0.5472897196261682,0.7461682242990654,0.5427289719626168,0.8445607476635514,1.0,0.8201121495327103,0.6902429906542056,0.9377196261682244,0.7236635514018691
long sleeve,PE17/00005.png,0.23688542581211589,0.9462796312554873,0.35376426690079016,0.8052019315188762,1.0,0.8598002633889377,0.4515474100087796,0.9255926251097454,0.8027326602282704
long sleeve,PE17/00006.png,0.4800588950771397,0.7685807566737085,0.49932782792394853,0.868254273093912,1.0,0.8334293579156264,0.7299148582037002,0.8914282056206388,0.639971832789194
long sleeve,PE17/00007.png,0.3513871374527112,0.9150693568726356,0.3189785624211854,0.8933165195460278,1.0,0.8650693568726355,0.7030895334174023,0.8844892812105927,0.6476040353089534
long sleeve,PE17/00008.png,0.5529369369369369,0.7625945945945946,0.5626666666666666,0.8724324324324324,1.0,0.8842522522522522,0.856072072072072,0.9811891891891892,0.8682522522522522
culottes,PE17/00009.png,0.8854745559551052,0.9388689114089572,0.8838400348697831,0.966764737931786,0.7008826413860739,0.9906287457774872,0.9250299662198975,0.2336275471286913,0.927536231884058
miniskirt,PE17/00010.png,0.5379053694843169,0.896969696969697,0.32546517809675707,0.8852737905369484,1.0,0.6862307283359915,0.5550239234449761,0.7119617224880382,0.5054758107389686
short sleeves,PE17/00011.png,0.679042679042679,0.9503139503139503,0.6937846937846938,0.5295295295295295,1.0,0.6052416052416052,0.3083083083083083,0.9591409591409591,0.3989443989443989
long sleeve,PE17/00012.png,0.5665374677002584,0.7489664082687338,0.5381782945736434,0.9228682170542636,1.0,0.9339793281653747,0.7255813953488373,0.8638888888888889,0.7404392764857881
long sleeve,PE17/00013.png,0.4189655172413793,0.6919310344827586,0.47744827586206895,0.7895172413793103,1.0,0.8324827586206897,0.8053793103448276,0.9386206896551724,0.7927586206896552
short sleeves,PE17/00014.png,0.23744525547445255,0.8880291970802919,0.21656934306569342,0.6922627737226278,1.0,0.6854014598540146,0.3700729927007299,0.9617518248175182,0.3908029197080292
short sleeves,PE17/00015.png,0.6906787169945064,0.9168881800460748,0.6594896331738437,0.5921495658337763,1.0,0.5740740740740741,0.424508240297714,0.9399255715045188,0.3447634237107921
printed,PE17/00016.png,0.429757785467128,0.8324270884824518,0.8228373702422145,0.5756796836381611,1.0,0.9618388531883342,0.3130004943153732,0.9514582303509639,0.6534849233811172
short sleeves,PE17/00017.png,0.676741358346361,0.9555323953447976,0.662324127149557,0.5265763418447108,1.0,0.5517630710439465,0.2678478374153205,0.9570088587806149,0.28695501129060275
short cardigan,PE17/00018.png,0.44206848357791756,0.970859538784067,0.6835779175401817,0.7550663871418588,0.7874912648497554,0.9193570929419986,0.41733053808525505,0.0,0.4549266247379455
short cardigan,PE17/00019.png,0.5132637853949329,0.964903129657228,0.5402384500745157,0.7848733233979136,0.8629657228017884,0.851043219076006,0.384053651266766,0.0,0.3464232488822653
long sleeve,PE17/00020.png,0.4833421938685097,0.7130958709906078,0.539872408293461,0.8498139287612971,1.0,0.9113060428849903,0.7628034733297892,0.9831649831649831,0.8957115009746589
long sleeve,PE17/00021.png,0.4985040119679043,0.7633618931048551,0.6054671562627499,0.8355093159254726,1.0,0.8914728682170543,0.8135454916360669,0.9383244934040528,0.8193934448524411
long sleeve,PE17/00022.png,0.4685133239831697,0.7387798036465638,0.4596774193548387,0.7722300140252455,1.0,0.8246844319775596,0.761781206171108,0.9438990182328191,0.7920757363253857
miniskirt,PE17/00023.png,0.6607565011820331,0.9178486997635934,0.6362293144208038,0.857565011820331,1.0,0.8488475177304965,0.896128841607565,0.9892139479905437,0.8794326241134752
short sleeves,PE17/00024.png,0.22014925373134328,0.9162351507767286,0.2196923545537618,0.6772768809016144,1.0,0.7290587876941822,0.37458117575388367,0.9627627170271094,0.45476698141943345
solid colours,PE17/00025.png,0.5354327541827542,0.8432271557271557,0.4321911196911197,0.6780485842985843,1.0,0.6371460746460746,0.37592503217503215,0.9569256756756757,0.47180662805662804
solid colours,PE17/00026.png,0.6450230718523401,0.8707426939134256,0.736596352450011,0.9487475280158207,1.0,0.8824983520105472,0.4033179520984399,0.8833223467369808,0.5109316633706877
short sleeves,PE17/00027.png,0.21071540143705092,0.8679318962824117,0.21329272102467978,0.7032958450484224,1.0,0.6854108091221494,0.41807247735082786,0.9595438925335833,0.3551233989378319
solid colours,PE17/00028.png,0.7212389380530974,0.9449115044247788,0.6042035398230089,0.6962942477876106,1.0,0.8629424778761062,0.2530420353982301,0.9466261061946902,0.6809734513274336
solid colours,PE17/00029.png,0.4131054131054131,0.9482958742218002,0.4043473673103303,0.6712039675002638,0.99852273926348,0.6830220533924237,0.31254616439801625,0.5390946502057613,0.2958742218001477
long sleeve,PE17/00030.png,0.4333296014330497,0.9294670846394985,0.4992163009404389,0.6168271383788625,1.0,0.7704321540528437,0.4745857590685177,0.9905956112852664,0.682769816390506
short sleeves,PE17/00031.png,0.6728727272727273,0.9101818181818182,0.6306909090909091,0.6907636363636364,1.0,0.6292363636363636,0.5991272727272727,0.9803636363636363,0.4370909090909091
trapeze dress,PE17/00032.png,0.13568627450980392,0.7577978883861237,0.1097737556561086,0.6517043740573152,1.0,0.5335746606334841,0.8214781297134238,0.9819607843137255,0.7028355957767722
sleeveless,PE17/00033.png,0.6369648451096415,0.9870054530688015,0.5618981320338786,0.7679545190857407,1.0,0.6420698456897552,0.93734772015315,0.9975635224504003,0.8864137370924702
long cardigan,PE17/00034.png,0.30276185513288173,0.9701812286491807,0.6996120664698049,0.2512882867234092,1.0,0.6554918649759712,0.12060679752185745,0.958832725377801,0.4604249898674078
culottes,PE17/00035.png,0.2559846431797651,0.969286359530262,0.304369918699187,0.5962624209575429,0.9604223125564589,0.5833333333333334,0.8174683830171635,0.5822606142728094,0.8136856368563685
long sleeve,PE17/00036.png,0.4961425076836229,0.9565326475569216,0.39308787555667063,0.7692404189926614,1.0,0.6844383114846642,0.6439816847519287,0.9334504171109578,0.6447343661795145
sheath dress,PE17/00037.png,0.6266307893020222,0.7673679060665362,0.4522994129158513,0.7224396607958252,1.0,0.5301696020874103,0.9440639269406392,0.9889921722113503,0.860812133072407
short coat,PE17/00038.png,0.3590284286160575,0.9405654482974071,0.3766010621680725,0.697438300531084,1.0,0.7291471415182755,0.7735082786629178,0.7373477038425492,0.729069040924711
long cardigan,PE17/00039.png,0.5020242914979757,0.9870445344129555,0.6252257863593896,0.5018997197134849,1.0,0.5777016505761445,0.4008720024914357,0.9385238243537839,0.3357209592027406
medium coat,PE17/00040.png,0.5555303202362026,0.9545196456961162,0.40909607086077676,0.8890529184646832,1.0,0.8359073359073359,0.7873608903020668,0.9759822848058142,0.5886895298660004
sleeveless,PE17/00041.png,0.11413817663817664,0.5970441595441596,0.1257122507122507,0.6179665242165242,1.0,0.6727207977207977,0.7942485754985755,0.9907407407407407,0.8387642450142451
doll dress,PE17/00042.png,0.3841435185185185,0.567650462962963,0.29270833333333335,0.6391203703703704,1.0,0.616087962962963,0.7953703703703704,0.844849537037037,0.8377893518518519
solid colours,PE17/00043.png,0.6615088242605021,0.9367387521749938,0.6670395227442207,0.5324384787472036,1.0,0.5526348496147154,0.4500994282873477,0.9621551081282624,0.47371364653243847
solid colours,PE17/00044.png,0.7338852749852158,0.5657401931795781,0.7518233786713976,0.43425980682042187,1.0,0.45436625271042774,0.443130297654248,0.9925093632958801,0.4499310072935147
solid colours,PE17/00045.png,0.7369714847590954,0.5525073746312684,0.7610619469026548,0.5017699115044247,1.0,0.45083579154375614,0.5538839724680432,1.0,0.47404129793510325
culottes,PE17/00046.png,0.7738258093935249,0.9522723818209454,0.5942392460860313,0.9302325581395349,0.6931904544763642,0.7747378020975833,0.8773369813041496,0.06231950144398845,0.809469524243806
sleeveless,PE17/00047.png,0.6687138728323699,0.9777215799614644,0.5272157996146436,0.703757225433526,1.0,0.5776734104046243,0.9199181117533719,0.9992774566473989,0.8919797687861272
medium coat,PE17/00048.png,0.4208016235413496,0.963064434297311,0.3373921867072552,0.7833079654997464,1.0,0.7196854388635211,0.4837138508371385,0.9753932014205987,0.41750380517503805
medium coat,PE17/00049.png,0.41691468253968256,0.9628968253968254,0.3228670634920635,0.7264880952380952,1.0,0.7012896825396825,0.38149801587301585,0.937797619047619,0.45828373015873014
doll dress,PE17/00050.png,0.4203448275862069,0.9477931034482758,0.17475862068965517,0.6263448275862069,1.0,0.4983448275862069,0.859103448275862,0.9715172413793104,0.8071034482758621
long dress,PE17/00051.png,0.002501488981536629,0.6658725431804645,0.017450863609291246,0.6048838594401429,1.0,0.6567599761762954,0.39023228111971414,0.9448481238832639,0.7113758189398451
short sleeves,PE17/00052.png,0.5945033986992029,0.6623306763166903,0.5105384126363147,0.8491857792557094,1.0,0.7597437527507458,0.9048364223189398,0.9732016235512739,0.8974521981514989
long sleeve,PE17/00053.png,0.5162337662337663,0.8967907092907093,0.34665334665334663,0.8884240759240759,1.0,0.7967032967032966,0.813061938061938,0.9772102897102897,0.6159465534465535
solid colours,PE17/00054.png,0.35526315789473684,0.9182565789473685,0.3740131578947368,0.6001644736842106,1.0,0.5734375,0.5172697368421053,0.9971217105263158,0.4912828947368421
culottes,PE17/00055.png,0.8487394957983193,0.9635854341736695,0.6910986616868969,0.989573607220666,0.6666666666666666,0.888422035480859,0.9416433239962652,0.09243697478991597,0.931683784624961
culottes,PE17/00056.png,0.9378984651711925,0.9404958677685951,0.5520661157024793,0.9364817001180638,0.5504132231404959,0.6044864226682408,0.8506887052341597,0.18331365604092878,0.5983471074380166
short sleeves,PE17/00057.png,0.7360773085182534,0.945597709377237,0.7330708661417323,0.6556191839656407,1.0,0.6536864710093057,0.5399427344309234,0.9703650680028633,0.5891195418754474
long sleeve,PE17/00058.png,0.6028313357651555,0.9419836720514156,0.49973944762897343,0.8652075733889178,1.0,0.7602049678652075,0.6240229286086504,0.22945978808407155,0.6005732152162585
sleeveless,PE17/00059.png,0.15734206989247312,0.24731182795698925,0.16624663978494625,0.7669690860215054,1.0,0.9021337365591398,0.902301747311828,0.9947076612903226,0.9616935483870968
culottes,PE17/00060.png,0.4039209632602655,0.9361222599567768,0.3470515591231862,0.6920963260265514,0.9994133991972831,0.6414016671812288,0.8227539364001235,0.8312750849027477,0.7824019759184934
long dress,PE17/00061.png,0.5108024691358025,0.5668724279835391,0.4957378012933569,0.7013521457965902,1.0,0.6480746619635509,0.8435479129923574,0.8738977072310405,0.8557466196355086
long sleeve,PE17/00062.png,0.3865143699336772,0.916298206828789,0.4389584868582658,0.6868091378039793,1.0,0.6790100712355687,0.4628469663473348,0.9959469417833456,0.552996806681405
long sleeve,PE17/00063.png,0.3999240890688259,0.9335146761133604,0.5032894736842105,0.6518851214574899,1.0,0.7606907894736842,0.614245951417004,0.9945597165991903,0.7512651821862348
trapeze dress,PE17/00064.png,0.6673315602836879,0.9183658392434988,0.7113622931442081,0.6631205673758865,1.0,0.7415041371158393,0.6088947990543735,0.9717050827423168,0.7056737588652482
sleeveless,PE17/00065.png,0.3401411764705882,0.28254117647058824,0.2761411764705882,0.8465882352941176,1.0,0.720564705882353,0.9166117647058823,0.9467294117647059,0.924235294117647
doll dress,PE17/00066.png,0.07636343744871725,0.49182211038783435,0.2889885673650238,0.41627919698047156,0.9992341775614025,0.5756796674142552,0.768448115529785,0.9591379027405503,0.8569006071877906
short coat,PE17/00067.png,0.2763902763902764,0.5673770673770674,0.00876900876900877,0.8682983682983683,0.9903984903984904,0.4080919080919081,0.6067266067266067,0.23248973248973248,0.3277278277278277
short coat,PE17/00068.png,0.26820666549109506,0.9520366778345971,0.377093986951155,0.7213895256568507,1.0,0.8292188326573796,0.5342091341915006,0.16989948862634455,0.4761946746605537
long dress,PE17/00069.png,0.20588235294117646,0.717766757865937,0.0070109439124487,0.5675444596443229,1.0,0.6018296853625171,0.49350205198358416,0.9043262653898769,0.4483584131326949
sleeveless,PE17/00070.png,0.19289473684210526,0.26096491228070173,0.19982456140350877,0.7057017543859649,1.0,0.725,0.8758771929824561,0.9925438596491228,0.8381578947368421
short coat,PE17/00071.png,0.4695376121463078,0.9555003450655625,0.5214906832298136,0.9595031055900621,1.0,0.9355417529330573,0.6372394755003451,0.4667494824016563,0.6944375431331953
sheath dress,PE17/00072.png,0.4842755035737492,0.9502923976608187,0.5785575048732944,0.6526965562053282,1.0,0.7728395061728395,0.8165042235217674,0.9562703053931124,0.8729044834307992
sleeveless,PE17/00073.png,0.6579194001874414,0.8195515824381804,0.7642563621945065,0.7941028044120828,1.0,0.880037488284911,0.7995097685819336,0.9357652656621729,0.753370340999207
culottes,PE17/00074.png,0.411357586512866,0.9906832298136646,0.8836734693877552,0.6947648624667259,0.37888198757763975,0.9416149068322981,0.7898846495119787,0.019520851818988466,0.7495119787045252
culottes,PE17/00075.png,0.6320422535211268,0.9854124748490946,0.7089201877934272,0.806841046277666,0.45757880617035546,0.9330985915492958,0.8080985915492958,0.009641180415828303,0.7549463447350772
long sleeve,PE17/00076.png,0.48253446115288223,0.9360902255639098,0.39089912280701755,0.9457236842105263,1.0,0.8847901002506265,0.5477756892230576,0.7440476190476191,0.668233082706767
sheath dress,PE17/00077.png,0.5804789004617201,0.8978846773327607,0.5802641468914421,0.4209169977450875,1.0,0.539568345323741,0.385375281864061,0.9789541501127457,0.7660259851820036
long sleeve,PE17/00078.png,0.1830564784053156,0.925359911406423,0.2315060908084164,0.6027131782945736,1.0,0.664562569213732,0.6062569213732004,0.8673311184939092,0.6880952380952381
sleeveless,PE17/00079.png,0.7202755210173084,0.7729070999646768,0.7980219003885552,0.8578240904274108,1.0,0.9675732956552455,0.7858707170611091,0.8190745319675027,0.8201695513952667
short sleeves,PE17/00080.png,0.6061495002172969,0.8179052585832247,0.6857887874837028,0.3999348109517601,1.0,0.5823554976097349,0.5474793568013907,0.990438939591482,0.823554976097349
culottes,PE17/00081.png,0.5743801652892562,0.9756304301758847,0.0979020979020979,0.7016317016317016,0.9896164441618988,0.4033693579148125,0.8332273786819241,0.5609239245602882,0.7264250900614537
short sleeves,PE17/00082.png,0.6516459538943175,0.9417512569964899,0.6563893368750593,0.8746798216487999,1.0,0.6960440185940613,0.9057015463428517,0.9722037757328527,0.8054264301299687
